BEGINNING EPISODE0
BEGINNING TRIAL
((2, 18), 3) | ((1, 0), 3)
((3, 18, 'SOUTH', 'door-closed'), 3) | ('open', 1)
BEGINNING EPISODE0
BEGINNING TRIAL
BEGINNING EPISODE0
BEGINNING TRIAL
((4, 2), 3) | ((0, 1), 3)
((4, 3, 'EAST', 'door-closed'), 3) | ('open', 1)
((4, 3, 'EAST', 'door-closed'), 3) | ((1, 0), 2)
((4, 3, 'EAST', 'door-closed'), 3) | ((-1, 0), 2)
((4, 3, 'EAST', 'door-closed'), 3) | ((0, 1), 2)
((4, 3, 'EAST', 'door-closed'), 3) | ('wait', 2)
((4, 3, 'EAST', 'door-closed'), 3) | ((0, -1), 3)
((4, 2), 3) | ((0, 1), 2)
BEGINNING EPISODE0
BEGINNING TRIAL
((12, 4), 3) | ((-1, 0), 3)
((11, 4, 'NORTH', 'door-closed'), 3) | ('open', 1)
((11, 4, 'NORTH', 'door-closed'), 3) | ((0, -1), 2)
((11, 4, 'NORTH', 'door-closed'), 3) | ((-1, 0), 2)
((11, 4, 'NORTH', 'door-closed'), 3) | ((0, 1), 2)
((11, 4, 'NORTH', 'door-closed'), 3) | ('wait', 2)
((11, 4, 'NORTH', 'door-closed'), 3) | ((1, 0), 3)
((12, 4), 3) | ((-1, 0), 2)
BEGINNING EPISODE0
BEGINNING TRIAL
((6, 6), 3) | ((0, -1), 3)
((6, 5, 'WEST', 'door-closed'), 3) | ('open', 1)
((6, 5, 'WEST', 'door-closed'), 3) | ((1, 0), 2)
((6, 5, 'WEST', 'door-closed'), 3) | ((0, -1), 2)
((6, 5, 'WEST', 'door-closed'), 3) | ((-1, 0), 2)
((6, 5, 'WEST', 'door-closed'), 3) | ('wait', 2)
((6, 5, 'WEST', 'door-closed'), 3) | ((0, 1), 3)
((6, 6), 3) | ((0, -1), 2)
BEGINNING EPISODE0
BEGINNING TRIAL
((12, 4), 3) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
((12, 4), 0) | ((1, 0), 0)
